Date,Open,High,Low,Close,Volumn
2020-12-11,615.0100,624.0000,596.8000,609.9900,46474974
2020-12-10,574.3700,627.7500,566.3400,627.0700,67083153
2020-12-09,653.6900,654.3200,588.0000,604.4800,71291190
2020-12-08,625.5050,651.2800,618.5000,649.8800,64265029
2020-12-07,604.9197,648.7856,603.0500,641.7600,56309709
2020-12-04,591.0100,599.0400,585.5000,599.0400,29401314
2020-12-03,590.0200,598.9700,582.4300,593.3800,42552003
2020-12-02,556.4400,571.5400,541.2100,568.8200,47775653
2020-12-01,597.5900,597.8500,572.0500,584.7600,39133346
2020-11-30,602.2100,607.8000,554.5100,567.6000,63003052
2020-11-27,581.1600,598.7800,578.4500,585.7600,37561078
2020-11-25,550.0600,574.0000,545.3700,574.0000,48930162
2020-11-24,540.4000,559.9900,526.2000,555.3800,52058771
2020-11-23,503.5000,526.0000,501.7900,521.8500,50260304
2020-11-20,497.9900,502.5000,489.0600,489.6100,32911922
2020-11-19,492.0000,508.6112,487.5700,499.2700,62475346
2020-11-18,448.3500,496.0000,443.5001,486.6400,78044024
2020-11-17,460.1700,462.0000,433.0100,441.6100,61188281
2020-11-16,408.9300,412.4500,404.0868,408.0900,26838635
2020-11-13,410.8500,412.5319,401.6600,408.5000,19830351
2020-11-12,415.0500,423.0000,409.5200,411.7600,19940500
2020-11-11,416.4500,418.6950,410.5800,417.1300,17357722
2020-11-10,420.0900,420.0900,396.0301,410.3600,30284224
2020-11-09,439.5000,452.5000,421.0000,421.2600,34833025
2020-11-06,436.1000,436.5700,424.2800,429.9500,21706014
2020-11-05,428.3000,440.0000,424.0001,438.0900,28414523
2020-11-04,430.6200,435.4000,417.1000,420.9800,32143057
2020-11-03,409.7300,427.7700,406.6900,423.9000,34351715
2020-11-02,394.0000,406.9799,392.3000,400.5100,29021118
2020-10-30,406.8954,407.5915,379.1100,388.0400,42587639
2020-10-29,409.9600,418.0600,406.4600,410.8300,22655308
2020-10-28,416.4800,418.6000,406.0000,406.0200,25451409
2020-10-27,423.7600,430.5000,420.1000,424.6800,22686506
2020-10-26,411.6300,425.7600,410.0000,420.2800,28239161
2020-10-23,421.8400,422.8859,407.3801,420.6300,33716980
2020-10-22,441.9200,445.2300,424.5100,425.7900,39993191
2020-10-21,422.7000,432.9500,421.2500,422.6400,32370461
2020-10-20,431.7500,431.7500,419.0501,421.9400,31656289
2020-10-19,446.2400,447.0000,428.8700,430.8300,36287843
2020-10-16,454.4400,455.9499,438.8500,439.6700,32775879
2020-10-15,450.3100,456.5700,442.5000,448.8800,35672354
2020-10-14,449.7800,465.9000,447.3500,461.3000,48045394
2020-10-13,443.3500,448.8900,436.6000,446.6500,34463665
2020-10-12,442.0000,448.7400,438.5800,442.3000,38791133
2020-10-09,430.1300,434.5899,426.4601,434.0000,28925656
2020-10-08,438.4400,439.0000,425.3000,425.9200,40421116
2020-10-07,419.8700,429.9000,413.8450,425.3000,43127709
2020-10-06,423.7900,428.7799,406.0500,413.9800,49146259
2020-10-05,423.3500,433.6400,419.3300,425.6800,44722786
2020-10-02,421.3900,439.1300,415.0000,415.0900,71430025
2020-10-01,440.7600,448.8800,434.4200,448.1600,50741454
2020-09-30,421.3200,433.9300,420.4700,429.0100,48145566
2020-09-29,416.0000,428.5000,411.6000,419.0700,50341404
2020-09-28,424.6200,428.0800,415.5500,421.2000,49719561
2020-09-25,393.4700,408.7323,391.3000,407.3400,67208459
2020-09-24,363.8000,399.5000,351.3000,387.7900,96561061
2020-09-23,405.1600,412.1500,375.8801,380.3600,95074176
2020-09-22,429.6000,437.7600,417.6001,424.2300,79580795
2020-09-21,453.1300,455.6800,407.0700,449.3900,109476800
2020-09-18,447.9400,451.0000,428.8000,442.1500,86406819
2020-09-17,415.6000,437.7900,408.0001,423.4300,76779163
2020-09-16,439.8700,457.7900,435.3100,441.7600,72546760
2020-09-15,436.5600,461.9400,430.7000,449.7600,97298228
2020-09-14,380.9500,420.0000,373.3000,419.6200,83020608
2020-09-11,381.9400,382.5000,360.5000,372.7200,60717459
2020-09-10,386.2100,398.9900,360.5600,371.3400,84930608
2020-09-09,356.6000,369.0000,341.5100,366.2800,79465769
2020-09-08,356.0000,368.7400,329.8800,330.2100,115465691
2020-09-04,402.8100,428.0000,372.0201,418.3200,110321885
2020-09-03,407.2300,431.8000,402.0000,407.0000,87596086
